Transactions
0.0
0.0
0.0
120.0
149.0
160.0
173.0
139.0
146.0
736.0
122.0
116.0
74.0
96.0
116.0
86.0
97.0
81.0
81.0
81.0
74.0
69.0
78.0
67.0
81.0
80.0
106.0
120.0
149.0
144.0
237.0
194.0
230.0
183.0
190.0
149.0
160.0
173.0
139.0
146.0
736.0
122.0
116.0
74.0
96.0
116.0
86.0
97.0
81.0
81.0
81.0
74.0
69.0
78.0
67.0
81.0
80.0
106.0
120.0
149.0
381.0
194.0
230.0
183.0
190.0
149.0
160.0
173.0
139.0
146.0
736.0
122.0
116.0
74.0
96.0
116.0
86.0
97.0
81.0
81.0
81.0
74.0
69.0
78.0
67.0
81.0
80.0
106.0
120.0
149.0
144.0
237.0
194.0
230.0
183.0
190.0
149.0
160.0
173.0
139.0
146.0
736.0
122.0
116.0
74.0
96.0
116.0
86.0
97.0
81.0
81.0
81.0
74.0
69.0
78.0
67.0
81.0
80.0
106.0
120.0
149.0
144.0
237.0
194.0
230.0
183.0
190.0
149.0
160.0
173.0
139.0
146.0
736.0
122.0
116.0
74.0
96.0
116.0
86.0
97.0
81.0
81.0
81.0
74.0
69.0
9.0
0.0
0.0
