Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Date
93.9909,670.77,227.6126,0.0,670.1500000000001,96.9844,345.93830799999995,70.35061600000002,51.0,0.0,2021-01-04
153.2981,746.6099999999999,219.0309,0.0,745.8899999999999,324.223378,456.54381400000017,367.6246,0.0,0.0,2021-01-05
138.1257,597.0500000000001,307.6223,0.0,596.1800000000001,159.00047,185.720094,231.61408000000003,119.0,0.0,2021-01-06
96.7697,485.72,312.69719999999995,30.1782,484.4500000000001,267.65600200000006,93.75807400000002,208.64862400000004,170.0,0.0,2021-01-07
71.9131,531.16,291.72549999999995,48.4959,529.2199999999999,132.927754,282.58417000000003,305.160904,181.0,60.0,2021-01-08
38.3384,640.76,201.5829,49.0776,640.04,75.73293199999999,93.075868,125.462338,184.0,56.0,2021-01-09
49.4162,453.22,158.8228,49.2313,452.41,298.850184,287.61476400000004,279.750636,148.0,78.0,2021-01-10
76.7639,585.2800000000001,142.1879,49.2025,584.8900000000001,323.065648,110.63370000000002,129.264014,163.0,92.0,2021-01-11
91.8484,572.56,145.9977,49.1235,572.35,164.51339599999997,383.9423399999999,224.48003600000007,161.0,44.0,2021-01-12
67.97460000000001,590.3900000000001,76.8532,17.2147,353.93999999999994,153.99814399999997,176.652208,251.659348,154.0,152.0,2021-01-13
50.685,694.59,40.5297,0.0353,460.8500000000001,313.8381440000003,288.27588,589.9675159999999,150.0,54.0,2021-01-14
32.928,556.3,106.8415,0.0,322.56,471.78833200000014,298.78506399999986,303.15631800000006,164.0,60.0,2021-01-15
39.9883,371.73,99.9534,0.0,140.13,169.60881400000002,291.14175199999994,278.99835200000007,136.0,38.0,2021-01-16
18.9126,332.4999999999999,92.4712,0.0,99.38,216.535174,126.662766,320.5940479999999,137.0,48.0,2021-01-17
47.7899,427.4599999999999,99.6554,0.0,224.65,64.34877199999998,82.45990200000001,315.7826419999999,369.7,56.0,2021-01-18
54.6568,384.88000000000005,82.97099999999999,0.0,183.20000000000005,1256.625376,278.5428079999999,429.266526,292.15000000000003,50.0,2021-01-19
50.0244,2583.09,89.46199999999999,0.0,2386.59,125.17174,345.97967399999993,131.08434000000003,280.19,54.0,2021-01-20
49.1373,2769.88,80.2146,0.0,2674.9500000000003,117.888438,223.73604,129.87525399999996,250.49,58.0,2021-01-21
47.413,3123.8,79.39760000000001,0.0,3122.17,171.56825999999998,446.940316,430.3772660000001,307.2,40.0,2021-01-22
41.6138,3418.25,98.427,0.0,3417.17,181.39649600000004,446.4926899999999,482.2562980000001,227.03,48.0,2021-01-23
24.8468,2433.19,106.0466,0.0,2430.44,184.376846,164.99017800000004,316.03956999999986,194.84,42.0,2021-01-24
57.0775,1895.48,78.5452,0.0,1895.04,68.176422,104.941768,144.498912,237.01,44.0,2021-01-25
58.8938,1160.86,61.0821,0.0,1159.34,581.2619340000001,307.76037599999995,540.985288,251.8,50.0,2021-01-26
54.1463,773.49,42.56869999999999,24.625,771.5500000000001,113.295628,120.21855,146.76804800000002,230.26,44.0,2021-01-27
42.7745,567.28,48.368600000000015,30.0,565.94,116.062118,196.24622400000007,194.540524,241.26,48.0,2021-01-28
32.8712,505.38,61.1536,30.0,503.17,184.462168,283.1530080000001,299.4616460000002,228.99,40.0,2021-01-29
41.258,475.73,66.2852,30.0,473.58,276.1407680000001,588.1655419999998,1079.0581579999998,213.36,66.0,2021-01-30
45.456,554.6600000000001,75.5458,30.0,553.1,104.230628,294.11189,492.4039179999999,223.94,42.0,2021-01-31
34.8455,664.8600000000002,89.9,30.0,664.1600000000002,95.79040999999998,296.223406,644.56997,214.8,74.0,2021-02-01
22.1573,530.24,106.2644,30.0,528.17,144.40618999999998,229.971354,368.1193640000001,224.58,58.0,2021-02-02
51.6352,531.91,100.1023,30.0,529.43,0.0,0.0,0.0,244.33,122.0,2021-02-03
57.1895,670.77,66.546,30.0,670.1500000000001,96.9844,345.93830799999995,70.35061600000002,279.74,98.0,2021-02-04
45.2066,746.6099999999999,82.7613,28.4074,745.8899999999999,324.223378,456.54381400000017,367.6246,226.83000000000004,116.0,2021-02-05
30.1094,597.0500000000001,87.8455,29.7896,596.1800000000001,159.00047,185.720094,231.61408000000003,226.42,100.0,2021-02-06
32.3931,485.72,60.62029999999999,29.9731,484.4500000000001,267.65600200000006,93.75807400000002,208.64862400000004,202.76,60.0,2021-02-07
38.9561,531.16,64.28309999999999,25.8907,529.2199999999999,132.927754,282.58417000000003,305.160904,217.88,60.0,2021-02-08
32.1485,640.76,58.6346,29.9839,640.04,75.73293199999999,93.075868,125.462338,216.27,56.0,2021-02-09
21.6837,453.22,54.2243,28.3495,452.41,298.850184,287.61476400000004,279.750636,228.26,78.0,2021-02-10
53.2317,585.2800000000001,57.92290000000001,25.5517,584.8900000000001,323.065648,110.63370000000002,129.264014,295.07,92.0,2021-02-11
47.4825,572.56,80.22950000000002,22.6702,572.35,164.51339599999997,383.9423399999999,224.48003600000007,293.14000000000004,44.0,2021-02-12
45.2178,590.3900000000001,108.29229999999998,10.7604,353.93999999999994,153.99814399999997,176.652208,251.659348,261.49,152.0,2021-02-13
99.0679,694.59,110.37660000000002,0.4764,460.8500000000001,313.8381440000003,288.27588,589.9675159999999,282.34,54.0,2021-02-14
275.6589,556.3,131.7684,0.6157,322.56,471.78833200000014,298.78506399999986,303.15631800000006,283.29,60.0,2021-02-15
314.3529,371.73,121.06349999999996,0.9298,140.13,169.60881400000002,291.14175199999994,278.99835200000007,292.03000000000003,38.0,2021-02-16
220.92,332.4999999999999,156.8233,30.0,99.38,216.535174,126.662766,320.5940479999999,220.55,48.0,2021-02-17
156.6693,427.4599999999999,174.67319999999998,30.0,224.65,64.34877199999998,82.45990200000001,315.7826419999999,233.88,56.0,2021-02-18
120.5655,384.88000000000005,141.4372,30.0,183.20000000000005,1256.625376,278.5428079999999,429.266526,262.41,50.0,2021-02-19
74.6768,2583.09,101.3483,24.8873,2386.59,125.17174,345.97967399999993,131.08434000000003,224.89000000000004,54.0,2021-02-20
61.1965,2769.88,103.6026,21.1233,2674.9500000000003,117.888438,223.73604,129.87525399999996,197.3,58.0,2021-02-21
96.8292,3123.8,78.0335,16.3748,3122.17,171.56825999999998,446.940316,430.3772660000001,235.88,40.0,2021-02-22
114.5729,3418.25,47.4589,13.5295,3417.17,181.39649600000004,446.4926899999999,482.2562980000001,265.37,48.0,2021-02-23
107.6979,2433.19,22.9452,11.1819,2430.44,184.376846,164.99017800000004,316.03956999999986,1202.93,42.0,2021-02-24
119.001,1895.48,50.6713,2.2623,1895.04,68.176422,104.941768,144.498912,974.31,44.0,2021-02-25
107.735,1160.86,65.80850000000001,0.3351,1159.34,581.2619340000001,307.76037599999995,540.985288,232.40000000000003,50.0,2021-02-26
95.2299,773.49,61.3734,0.341,771.5500000000001,113.295628,120.21855,146.76804800000002,232.92,44.0,2021-02-27
99.6667,567.28,61.3128,0.4906,565.94,116.062118,196.24622400000007,194.540524,211.47,48.0,2021-02-28
